senti/topic 0/0,like,size,fit,wear,look,one,shoe,would,well,bra,watch,comfort,order,get,great,pair,good,use,time,love,work,littl,color,bought,dont,year,buy,go,nice,qualiti,small,im,jean,made,need,feel,even,tri,much,ive,want,wash,purchas,make,got,also,shirt,realli,day,still,back,long,tight,sock,return,think,first,product,last,seem,feet,pant,right,find,price,larg,top,big,run,perfect,better,could,band,put,expect,way,bit,leg,didnt,materi,around,support,amazon,strap,style,though,differ,sinc,give,someth,old,two,keep,come,hold,thing,review,bag,enough,side
senti/topic 0/1,like,size,wear,fit,look,one,would,good,bra,time,well,order,shoe,love,watch,comfort,pair,great,get,dont,use,color,littl,qualiti,buy,bought,year,im,made,small,also,work,realli,back,much,shirt,even,jean,nice,return,tri,price,make,go,bit,last,way,want,long,better,got,feel,first,need,seem,day,tight,wash,find,purchas,product,review,ive,could,materi,right,sock,keep,perfect,strap,run,larg,cant,pant,around,say,anoth,top,big,two,recommend,still,expect,differ,think,band,amazon,support,thing,sure,problem,see,come,feet,toe,enough,howev,mani,give,pretti
senti/topic 0/2,size,fit,like,wear,look,one,good,bra,would,shoe,great,well,time,get,comfort,dont,buy,order,watch,realli,bought,pair,use,qualiti,also,love,nice,go,color,im,work,year,littl,need,materi,feel,jean,shirt,price,return,long,tri,purchas,wash,small,made,back,even,got,product,want,sock,first,amazon,seem,much,pant,recommend,tight,big,still,make,around,could,keep,day,find,ive,bit,way,better,larg,pretti,put,say,think,right,last,though,perfect,top,review,run,support,band,foot,strap,didnt,found,cup,thing,alway,see,give,lot,waist,style,black,fabric,anoth
senti/topic 0/3,fit,size,wear,like,look,one,shoe,would,bra,great,get,order,good,well,love,pair,watch,comfort,time,dont,bought,use,work,buy,littl,im,year,made,qualiti,realli,small,color,go,back,purchas,price,seem,jean,tri,much,feel,long,also,return,make,even,want,bit,day,product,shirt,nice,recommend,pant,need,materi,way,wash,got,ive,run,right,amazon,first,expect,last,put,give,review,keep,around,better,thing,differ,support,come,larg,find,cup,could,big,perfect,problem,waist,doesnt,didnt,howev,short,sock,still,cant,know,tight,two,pretti,strap,feet,star,say,top
senti/topic 0/4,wear,like,size,fit,look,would,one,shoe,order,bra,good,time,pair,great,comfort,get,dont,well,work,love,bought,use,watch,realli,color,qualiti,buy,im,year,need,made,small,also,nice,even,go,back,shirt,long,big,feel,littl,want,much,price,make,purchas,product,return,tri,still,jean,larg,pant,last,tight,better,ive,seem,day,first,could,perfect,say,strap,expect,got,problem,ear,way,run,wash,pretti,review,enough,think,thing,give,support,amazon,bit,keep,right,put,know,brand,find,sock,fabric,old,take,lot,materi,see,differ,light,cloth,band,around,anoth
senti/topic 1/0,size,wear,fit,like,look,one,bra,good,would,shoe,comfort,great,get,order,time,well,pair,watch,buy,dont,work,bought,love,im,use,purchas,realli,back,nice,year,price,qualiti,color,way,even,go,return,littl,think,feel,made,tri,make,bit,materi,shirt,need,much,day,perfect,wash,want,long,got,still,amazon,jean,seem,small,keep,pant,sock,find,ive,also,put,first,expect,last,product,better,big,larg,around,support,pretti,right,howev,lot,know,tight,review,bag,style,cant,didnt,feet,enough,give,two,short,differ,waist,thing,could,problem,strap,see,band,foot
senti/topic 1/1,size,like,wear,fit,look,one,bra,good,would,shoe,get,comfort,great,order,watch,bought,year,pair,time,qualiti,use,dont,well,color,buy,work,made,purchas,also,jean,nice,love,im,much,go,feel,day,make,wash,long,tri,littl,even,realli,seem,small,materi,price,sock,back,want,think,return,bit,still,shirt,big,got,need,thing,keep,tight,brand,first,find,support,enough,ive,way,two,perfect,around,band,better,see,product,expect,larg,didnt,though,strap,feet,take,last,come,could,style,problem,fabric,recommend,right,short,old,found,anoth,howev,cup,put,bag,say
senti/topic 1/2,size,like,fit,wear,look,would,one,shoe,good,bra,comfort,get,order,time,great,use,well,buy,bought,watch,love,dont,pair,im,small,qualiti,year,much,realli,nice,work,need,go,way,feel,color,return,littl,jean,back,purchas,got,big,make,made,still,keep,also,seem,long,tri,price,shirt,even,first,say,ive,wash,day,larg,want,bit,brand,sock,think,band,materi,last,amazon,better,review,product,find,put,perfect,recommend,right,pant,tight,support,ear,worn,around,two,enough,sinc,didnt,run,thing,expect,mani,feet,know,could,levi,see,thought,strap,differ,problem
senti/topic 1/3,size,wear,like,fit,look,one,bra,good,would,great,get,shoe,comfort,love,watch,time,well,order,use,buy,pair,realli,dont,year,im,color,qualiti,bought,feel,work,littl,tri,also,made,make,seem,return,back,even,small,go,way,nice,got,want,much,product,bit,find,jean,need,shirt,tight,price,think,day,wash,around,still,pant,long,recommend,purchas,right,perfect,amazon,give,band,strap,know,ive,review,keep,fabric,waist,see,last,differ,thing,lot,anoth,sock,better,pretti,run,could,first,short,big,larg,materi,brand,support,husband,sinc,say,new,levi,bag,come
senti/topic 1/4,fit,size,wear,like,look,bra,one,would,great,shoe,well,pair,get,good,watch,order,comfort,love,time,buy,bought,use,realli,dont,work,year,jean,littl,even,tri,much,back,small,make,go,purchas,made,color,qualiti,nice,feel,shirt,im,still,wash,long,day,ive,first,return,product,also,want,amazon,big,need,way,price,find,better,seem,thing,think,recommend,materi,right,bit,expect,around,pretti,got,two,say,didnt,put,last,could,pant,brand,differ,style,tight,support,band,keep,perfect,cant,worn,sock,never,larg,know,run,cheap,alway,thin,cup,sinc,waist,though
